germplasmName,observationUnitName,notes
IL2022-21238,SI_Urb_23-1347,"hd:N, segregation or offtypes?, mixed, obs:Fair"
IL2022-10508,SI_Urb_23-1348,"hd:E, ve, obs:Normal"
IL2022-20741,SI_Urb_23-1349,"hd:N, obs:Fair"
IL2022F4S-18705,SI_Urb_23-135,"hd:L, obs:Fair"
IL2022-12044,SI_Urb_23-1350,"hd:N, obs:Fair"
IL2022-10225,SI_Urb_23-1351,"hd:N, obs:Normal"
IL2022-22870,SI_Urb_23-1352,"hd:N, obs:Fair"
IL2022-3724,SI_Urb_23-1353,"hd:N, obs:Fair"
IL2022-11003,SI_Urb_23-1354,"hd:E, obs:Good"
IL2022-19302,SI_Urb_23-1355,"hd:L, obs:Normal"
IL2022-6407,SI_Urb_23-1356,"hd:E, obs:Normal"
